name,H,S,B,type
swatch_0,200,1,91,light
swatch_1,76,51,100,light
swatch_2,70,100,100,light
swatch_3,166,34,100,light
swatch_4,207,4,79,light
swatch_5,353,29,100,light
swatch_6,134,38,100,light
swatch_7,257,28,100,light
swatch_8,71,6,72,light
swatch_9,198,29,100,light
swatch_10,182,100,100,light
swatch_11,149,100,100,light
swatch_12,338,52,100,light
swatch_13,201,100,100,light
swatch_14,3,62,100,light
swatch_15,342,73,100,light
swatch_16,134,86,71,dark
swatch_17,175,100,72,dark
swatch_18,322,83,100,light
swatch_19,215,100,95,dark
swatch_20,17,100,100,dark
swatch_21,214,22,45,dark
swatch_22,340,31,56,dark
swatch_23,79,69,46,dark
swatch_24,275,87,76,dark
swatch_25,319,71,48,dark
swatch_26,38,34,35,dark
swatch_27,265,100,92,dark
